수집시각,순위,제목,저자,출판사,링크,이미지URL,이전순위,순위변동
2026-07-31 06:31,1,"세네카, 오늘을 빼앗기고 있는 당신에게","루키우스 안나이우스 세네카, 하와이 대저택",논픽션,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=396404956,https://image.aladin.co.kr/product/39640/49/cover500/k872130175_1.jpg,1,-
2026-07-31 06:31,2,(팬 쇼케이스 응모) 알파드라이브원 - 미니 2집 UNBREAKABLE : 少年 BEAST [Fragile Beast Ver.],,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399402313,https://image.aladin.co.kr/product/39940/23/cover500/c872939522_1.jpg,11,↑9
2026-07-31 06:31,3,リンネル 2026年 8月號,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393554378,https://image.aladin.co.kr/product/39355/43/cover500/f542138631_1.jpg,9,↑6
2026-07-31 06:31,4,명탐정 코난 108,아오야마 고쇼,서울미디어코믹스(서울문화사),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399539936,https://image.aladin.co.kr/product/39953/99/cover500/k362130528_1.jpg,4,-
2026-07-31 06:31,5,장송의 프리렌,"야마다 카네히토, 아베 츠카사",학산문화사/DCW,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399509007,https://image.aladin.co.kr/product/39950/90/cover500/e372639371_c91e.jpg,2,↓3
2026-07-31 06:31,6,지푸라기 왕관을 쓴 여자,박상영,래빗홀,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398344057,https://image.aladin.co.kr/product/39834/40/cover500/k032130812_1.jpg,22,↑16
2026-07-31 06:31,7,투명한 나선,"히가시노 게이고, 김선영",북다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398021172,https://image.aladin.co.kr/product/39802/11/cover500/k082130602_3.jpg,3,↓4
2026-07-31 06:31,8,새벽의 연화 47 (한정판),"미즈호 쿠사나기, 이상은",학산문화사(만화),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397903959,https://image.aladin.co.kr/product/39790/39/cover500/k042130305_1.jpg,61,↑53
2026-07-31 06:31,9,본투리드 초저점도 3색 볼펜 0.7mm,,본투리드 초저점도 3색 볼펜 0.7mm,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=312244903,https://image.aladin.co.kr/product/31224/49/cover500/g392431795_1.jpg,7,↓2
2026-07-31 06:31,10,웨이브 투 어스 - bad pieces,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399531777,https://image.aladin.co.kr/product/39953/17/cover500/c342939629_2.jpg,6,↓4
2026-07-31 06:31,11,니체의 초월자,"프리드리히 니체, 김철",히읏,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=375395519,https://image.aladin.co.kr/product/37539/55/cover500/k392032120_1.jpg,23,↑12
2026-07-31 06:31,12,수족관,유래혁,포스터샵,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330811810,https://image.aladin.co.kr/product/33081/18/cover500/k582937507_1.jpg,19,↑7
2026-07-31 06:31,13,빵충 사육 준수 사항,김혜영,안전가옥,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398726639,https://image.aladin.co.kr/product/39872/66/cover500/k242130313_1.jpg,15,↑2
2026-07-31 06:31,14,이방인,"알베르 카뮈, 김화영",민음사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=212246612,https://image.aladin.co.kr/product/21224/66/cover500/8937443848_1.jpg,,NEW
2026-07-31 06:31,15,비와이 - POP IS CRYIN' (2CD),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398434392,https://image.aladin.co.kr/product/39843/43/cover500/c202939326_1.jpg,76,↑61
2026-07-31 06:31,16,BIG Naughty (서동현) - EP앨범 호프풀 로맨틱,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399320241,https://image.aladin.co.kr/product/39932/2/cover500/c642939521_1.jpg,50,↑34
2026-07-31 06:31,17,ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330109271,https://image.aladin.co.kr/product/33010/92/cover500/8917239498_2.jpg,,NEW
2026-07-31 06:31,18,명탐정 코난 108 (특장판) 박스 A형,,명탐정 코난 108 (특장판) 박스 A형,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399539963,https://image.aladin.co.kr/product/39953/99/cover500/k322130528_1.jpg,5,↓13
2026-07-31 06:31,19,불안의 책 (먼슬리 클래식),"페르난두 페소아, 오진영",문학동네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=396572435,https://image.aladin.co.kr/product/39657/24/cover500/8954625762_1.jpg,,NEW
2026-07-31 06:31,20,헝거 게임 : 50번째 추첨의 날,"수잔 콜린스, 이원열",북폴리오,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399288601,https://image.aladin.co.kr/product/39928/86/cover500/k372130027_1.jpg,,NEW
2026-07-31 06:31,21,Young K (DAY6) - 정규 2집 YOUNGEST (Platform Album FANS ver.),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397823200,https://image.aladin.co.kr/product/39782/32/cover500/c092939222_1.jpg,,NEW
2026-07-31 06:31,22,지금부터 주식공부 다시 시작이다,감은숙,타래(도서출판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=394229006,https://image.aladin.co.kr/product/39422/90/cover500/k602139296_1.jpg,,NEW
2026-07-31 06:31,23,모순,양귀자,쓰다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=25843736,https://image.aladin.co.kr/product/2584/37/cover500/8998441012_3.jpg,57,↑34
2026-07-31 06:31,24,무진기행,김승옥,민음사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=965741,https://image.aladin.co.kr/product/96/57/cover500/8937461498_2.jpg,13,↓11
2026-07-31 06:31,25,패밀리 레스토랑 가자.,"와야마 야마, 현승희",문학동네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397895380,https://image.aladin.co.kr/product/39789/53/cover500/e832638556_8f97.jpg,49,↑24
2026-07-31 06:31,26,"돈, 뜨겁게 사랑하고 차갑게 다루어라","앙드레 코스톨라니, 한윤진",미래의창,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=324898598,https://image.aladin.co.kr/product/32489/85/cover500/k942935503_1.jpg,,NEW
2026-07-31 06:31,27,2027 유휘운 행정법총론 요약노트 + 기출문제 (요.플.) [회독용 암기 APP 제공],유휘운,넥스트스터디(모두공북스),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398195280,https://image.aladin.co.kr/product/39819/52/cover500/k982130601_2.jpg,85,↑58
2026-07-31 06:31,28,유럽 도시 기행 3,유시민,생각의길,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397155927,https://image.aladin.co.kr/product/39715/59/cover500/8965138310_1.jpg,29,↑1
2026-07-31 06:31,29,누구에게나 가슴을 후벼파는 대사 한마디가 있다,정덕현,서교책방,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398284528,https://image.aladin.co.kr/product/39828/45/cover500/k682130712_1.jpg,62,↑33
2026-07-31 06:31,30,"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365659530,https://image.aladin.co.kr/product/36565/95/cover500/k242039142_2.jpg,,NEW
2026-07-31 06:31,31,알라딘 크레마C,,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=355168601,https://image.aladin.co.kr/product/35516/86/cover500/g942432166_01.jpg,51,↑20
