수집시각,순위,제목,저자,출판사,링크,이미지URL,이전순위,순위변동
2026-09-19 12:31,1,"세네카, 오늘을 빼앗기고 있는 당신에게",세네카,논픽션,https://product.kyobobook.co.kr/detail/S000220308313,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791199489561.jpg,1,-
2026-09-19 12:31,2,흔한남매 23,흔한남매,미래엔아이세움,https://product.kyobobook.co.kr/detail/S000221248222,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791175488854.jpg,2,-
2026-09-19 12:31,3,당신의 분노에는 이유가 있다,충페이충,더페이지,https://product.kyobobook.co.kr/detail/S000212169901,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791198632401.jpg,3,-
2026-09-19 12:31,4,머니 트렌드 2027,정태익 외,북모먼트,https://product.kyobobook.co.kr/detail/S000221075112,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791124038826.jpg,5,↑1
2026-09-19 12:31,5,싯다르타,헤르만 헤세,민음사,https://product.kyobobook.co.kr/detail/S000000620195,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788937460586.jpg,7,↑2
2026-09-19 12:31,6,기분이 태도가 되지 말자(30만부 기념 최신 개정판),김수현(훈글),하이스트,https://product.kyobobook.co.kr/detail/S000200329012,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791197647666.jpg,8,↑2
2026-09-19 12:31,7,유대인의 상술,후지다 덴,지니의서재,https://product.kyobobook.co.kr/detail/S000215551627,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791198881984.jpg,6,↓1
2026-09-19 12:31,8,박완서의 낱말들,박완서,웅진지식하우스,https://product.kyobobook.co.kr/detail/S000221248241,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9788901300702.jpg,18,↑10
2026-09-19 12:31,9,서리꽃 세트,조정래,해냄출판사,https://product.kyobobook.co.kr/detail/S000220937605,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791167141637.jpg,13,↑4
2026-09-19 12:31,10,니체의 초월자,프리드리히 니체,히읏,https://product.kyobobook.co.kr/detail/S000218278239,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791192559100.jpg,14,↑4
2026-09-19 12:31,11,평범함을 받아들일 때 삶은 더욱 특별해진다,청비쉬엔,이든서재,https://product.kyobobook.co.kr/detail/S000221048495,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791194812319.jpg,4,↓7
2026-09-19 12:31,12,2027 해커스경찰 갓대환 형사법 기출총정리 세트,김대환,해커스경찰,https://product.kyobobook.co.kr/detail/S000221248704,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791176448376.jpg,11,↓1
2026-09-19 12:31,13,한국사 이상현상 연구원(일반판),최인서,다이브,https://product.kyobobook.co.kr/detail/S000220693844,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791124137635.jpg,27,↑14
2026-09-19 12:31,14,단 한 번의 삶(강물에디션 활판인쇄 한정판),김영하,복복서가,https://product.kyobobook.co.kr/detail/S000216122857,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791191114768.jpg,21,↑7
2026-09-19 12:31,15,트렌드 코리아 2027,김난도 외,미래의창,https://product.kyobobook.co.kr/detail/S000221151022,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791124073483.jpg,10,↓5
2026-09-19 12:31,16,리더는 언제 차이를 만들어내는가,재레드 다이아몬드,김영사,https://product.kyobobook.co.kr/detail/S000221141961,https://contents.kyobobook.co.kr/sih/fit-in/458x0/pdt/9791173327964.jpg,17,↑1
