수집시각,순위,제목,저자,출판사,링크,이미지URL,이전순위,순위변동
2026-09-07 12:01,1,"세네카, 오늘을 빼앗기고 있는 당신에게",루키우스 안나이우스 세네카,논픽션,https://www.yes24.com/product/goods/192474512,https://image.yes24.com/goods/192474512/XL,3,↑2
2026-09-07 12:01,2,마음의 어휘력,조아란 외,페이지2북스,https://www.yes24.com/product/goods/195028168,https://image.yes24.com/goods/195028168/XL,6,↑4
2026-09-07 12:01,3,그랬다고 적었다,김애란,문학동네,https://www.yes24.com/product/goods/195042981,https://image.yes24.com/goods/195042981/XL,4,↑1
2026-09-07 12:01,4,"안녕, 피터팬",전경철,이야기장수,https://www.yes24.com/product/goods/192491734,https://image.yes24.com/goods/192491734/XL,8,↑4
2026-09-07 12:01,5,니체의 초월자,프리드리히 니체,히읏,https://www.yes24.com/product/goods/161401496,https://image.yes24.com/goods/161401496/XL,11,↑6
2026-09-07 12:01,6,서리꽃 세트,조정래,해냄,https://www.yes24.com/product/goods/195252787,https://image.yes24.com/goods/195252787/XL,35,↑29
2026-09-07 12:01,7,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS,YBM(와이비엠),https://www.yes24.com/product/goods/168776448,https://image.yes24.com/goods/168776448/XL,26,↑19
2026-09-07 12:01,8,오뒷세이아,호메로스,을유문화사,https://www.yes24.com/product/goods/194511329,https://image.yes24.com/goods/194511329/XL,10,↑2
2026-09-07 12:01,9,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,ETS,YBM(와이비엠),https://www.yes24.com/product/goods/168776455,https://image.yes24.com/goods/168776455/XL,25,↑16
2026-09-07 12:01,10,수족관,유래혁,포스터샵,https://www.yes24.com/product/goods/124235834,https://image.yes24.com/goods/124235834/XL,12,↑2
2026-09-07 12:01,11,고깔모자의 아틀리에 16 한정판,시라하마 카모메,학산문화사,https://www.yes24.com/product/goods/195860944,https://image.yes24.com/goods/195860944/XL,2,↓9
2026-09-07 12:01,12,모순,양귀자,쓰다,https://www.yes24.com/product/goods/8759796,https://image.yes24.com/goods/8759796/XL,20,↑8
2026-09-07 12:01,13,고깔모자의 아틀리에 16,시라하마 카모메,학산문화사,https://www.yes24.com/product/goods/195860823,https://image.yes24.com/goods/195860823/XL,5,↓8
2026-09-07 12:01,14,백야,표도르 도스토예프스키,문학동네,https://www.yes24.com/product/goods/195254819,https://image.yes24.com/goods/195254819/XL,62,↑48
2026-09-07 12:01,15,문해내공,신종호 외,상상스퀘어,https://www.yes24.com/product/goods/194182112,https://image.yes24.com/goods/194182112/XL,38,↑23
2026-09-07 12:01,16,이향인,라미 카민스키,21세기북스,https://www.yes24.com/product/goods/182009922,https://image.yes24.com/goods/182009922/XL,,NEW
2026-09-07 12:01,17,안녕이라 그랬어 (집 에디션),김애란,문학동네,https://www.yes24.com/product/goods/147560984,https://image.yes24.com/goods/147560984/XL,,NEW
2026-09-07 12:01,18,싯다르타,헤르만 헤세,민음사,https://www.yes24.com/product/goods/257435,https://image.yes24.com/goods/257435/XL,13,↓5
2026-09-07 12:01,19,한국사 이상현상 연구원,최인서,다이브,https://www.yes24.com/product/goods/195265894,https://image.yes24.com/goods/195265894/XL,61,↑42
2026-09-07 12:01,20,브레인 악셀,이진우,바른뇌연구소,https://www.yes24.com/product/goods/195250585,https://image.yes24.com/goods/195250585/XL,,NEW
2026-09-07 12:01,21,2027 공단기 심슨 독해 300제,심우철,공단기(에스티유니타스),https://www.yes24.com/product/goods/195236934,https://image.yes24.com/goods/195236934/XL,,NEW
2026-09-07 12:01,22,신경 끄기의 기술 (한교동 에디션),마크 맨슨,갤리온,https://www.yes24.com/product/goods/195141828,https://image.yes24.com/goods/195141828/XL,36,↑14
2026-09-07 12:01,23,ETS 토익 단기공략 550+ LC+RC,ETS,YBM(와이비엠),https://www.yes24.com/product/goods/193807989,https://image.yes24.com/goods/193807989/XL,,NEW
2026-09-07 12:01,24,괴테는 모든 것을 말했다 (여름 에디션),스즈키 유이,리프,https://www.yes24.com/product/goods/164510819,https://image.yes24.com/goods/164510819/XL,,NEW
2026-09-07 12:01,25,오디세이아,호메로스,현대지성,https://www.yes24.com/product/goods/145242086,https://image.yes24.com/goods/145242086/XL,1,↓24
